Model,Spend_Social_Media,Spend_Google_Ads,Spend_Email,Expected_Response,Vs_Hybrid_%,Vs_LastClick_%,Total_Budget
Ground_Truth_Optimal,500.0000008800441,3846.7271206555715,5653.272878464385,0.28639667593034424,0.668,14.477,10000
Hybrid_M_S,500.0000088149318,4683.514880844455,4816.485110340613,0.2844951832207459,0.0,13.717,10000
Markov,500.0000126135415,5010.130493504791,4489.869493881667,0.28257220461346333,-0.676,12.948,10000
Time_Decay,4968.951464740956,500.0000499201261,4531.048485338918,0.25066907158750856,-11.89,0.196,10000
Linear,4971.799641194221,500.000160000235,4528.2001988055445,0.25062910772227265,-11.904,0.18,10000
Shapley,4989.200656428248,500.0000072393662,4510.799336332386,0.2503836716258597,-11.99,0.082,10000
Last_Click,5003.599265150937,500.0003671072629,4496.400367741801,0.25017891176835605,-12.062,0.0,10000
Position_Based,5058.054507536475,500.00004515466753,4441.945447308857,0.2493907138030958,-12.339,-0.315,10000
First_Click,5153.00000210967,500.00017359258277,4346.999824297748,0.24796320004651506,-12.841,-0.886,10000
Ground_Truth_Optimal,6169.55877182271,35056.44174189288,8773.999486284412,0.5564525578049502,0.177,3.529,50000
Hybrid_M_S,7401.190766517511,34773.34914549241,7825.460087990078,0.5554702224084698,0.0,3.346,50000
Markov,2500.0000384949935,39555.477679709955,7944.522281795048,0.5517569299033352,-0.668,2.656,50000
Last_Click,15590.61801517577,27089.00204887238,7320.3799359518425,0.537483969198129,-3.238,0.0,50000
Time_Decay,16081.609539688801,26423.8857557345,7494.504704576706,0.5358880309936594,-3.525,-0.297,50000
Linear,16328.511640788149,26115.28642585111,7556.201933360736,0.5349983213193776,-3.686,-0.462,50000
Position_Based,16333.053756576026,26218.254343942604,7448.691899481372,0.5348950191279594,-3.704,-0.482,50000
Shapley,16803.970636994476,25534.689217673425,7661.340145332092,0.5331821295347388,-4.012,-0.8,50000
First_Click,17148.53691787879,25305.34051117302,7546.122570948185,0.5317326897736048,-4.273,-1.07,50000
Ground_Truth_Optimal,18882.759952260225,68952.45871016242,12164.781337577346,0.6613758983298268,0.042,0.811,100000
Hybrid_M_S,20112.424531828616,68672.02714881618,11215.548319355205,0.661100549451684,0.0,0.769,100000
Last_Click,28302.233549365028,60989.9010469138,10707.865403721173,0.6560545629266104,-0.763,0.0,100000
Time_Decay,28789.788958722173,60327.361107399345,10882.849933878484,0.6556110892790885,-0.83,-0.068,100000
Linear,29040.741108468414,60012.080836125715,10947.178055405888,0.6553578358934794,-0.869,-0.106,100000
Position_Based,29043.35328263734,60118.94379832332,10837.702919039335,0.6553305021939001,-0.873,-0.11,100000
Shapley,29518.255759491814,59430.87685768596,11050.86738282224,0.6548458186608281,-0.946,-0.184,100000
First_Click,29859.453229758525,59205.5557798894,10934.990990352075,0.6544429579497437,-1.007,-0.246,100000
Markov,5000.000843285896,79999.99985699913,14999.99929971498,0.6413202947381713,-2.992,-2.246,100000
Ground_Truth_Optimal,120420.95209340181,340162.04087503103,39417.00703156721,0.7022788440236349,0.0,0.0,500000
Hybrid_M_S,121784.0080540548,339761.0427318612,38454.94921408404,0.7022788356138376,0.0,0.0,500000
Last_Click,130246.76002160399,332076.2856853592,37676.95429303686,0.7022786281429678,-0.0,0.0,500000
Time_Decay,130450.71677146772,331522.32353236905,38026.95969616326,0.7022786248858741,-0.0,-0.0,500000
Linear,130728.2484489511,331289.6417156082,37982.10983544075,0.7022786131962011,-0.0,-0.0,500000
Position_Based,130978.55820720585,330993.03737072536,38028.40442206882,0.7022786031790916,-0.0,-0.0,500000
Shapley,131032.9563180177,330611.38869724906,38355.654984733235,0.7022786019984645,-0.0,-0.0,500000
First_Click,131177.56235041437,330556.0822811333,38266.35536845229,0.7022785957318581,-0.0,-0.0,500000
Markov,31053.73930547409,399983.00359328365,68963.25710124233,0.6992014804797633,-0.438,-0.438,500000
